"scientificName","kingdom","euConcernStatus","usageKey","rank","status","family"
"1","Alopochen aegyptiaca","Animalia","under consideration",2498252,"SPECIES","ACCEPTED","Anatidae"
"2","Cotoneaster ganghobaensis","Plantae","",3025989,"SPECIES","SYNONYM","Rosaceae"
"3","Cotoneaster hylmoei","Plantae","",3025758,"SPECIES","SYNONYM","Rosaceae"
